2012-12-03,Na 1-3/Hab 1-3
2012-12-10,Zep 1-3/Hag 1-2
2012-12-17,Zec 1-8
2012-12-24,Zec 9-14
2012-12-31,Mal 1-4
2013-01-07,Mt 1-6
2013-01-14,Mt 7-11
2013-01-21,Mt 12-15
2013-01-28,Mt 16-21
2013-02-04,Mt 22-25
2013-02-11,Mt 26-28
2013-02-18,Mr 1-4
2013-02-25,Mr 5-8
2013-03-04,Mr 9-12
2013-03-11,Mr 13-16
2013-03-18,Lu 1-3
2013-03-25,Lu 4-6
2013-04-01,Lu 7-9
2013-04-08,Lu 10-12
2013-04-15,Lu 13-17
2013-04-22,Lu 18-21
2013-04-29,Lu 22-24
2013-05-06,Joh 1-4
2013-05-13,Joh 5-7
2013-05-20,Joh 8-11
2013-05-27,Joh 12-16
2013-06-03,Joh 17-21
2013-06-10,Ac 1-4
2013-06-17,Ac 5-7
2013-06-24,Ac 8-10
2013-07-01,Ac 11-14
2013-07-08,Ac 15-17
2013-07-15,Ac 18-21
2013-07-22,Ac 22-25
2013-07-29,Ac 26-28
2013-08-05,Ro 1-4
2013-08-12,Ro 5-8
2013-08-19,Ro 9-12
2013-08-26,Ro 13-16
2013-09-02,1Co 1-9
2013-09-09,1Co 10-16
2013-09-16,2Co 1-7
2013-09-23,2Co 8-13
2013-09-30,Ga 1-6
2013-10-07,Eph 1-6
2013-10-14,Php 1-4/Col 1-4
2013-10-21,1Th 1-5/2Th 1-3
2013-10-28,1Ti 1-6/2Ti 1-4
2013-11-04,Tit 1-3/Phm
2013-11-11,Heb 1-8
2013-11-18,Heb 9-13
2013-11-25,Jas 1-5
2013-12-02,1Pe 1-5/2Pe 1-3
2013-12-09,1Jo 1-5/2Jo/3Jo/Jude
2013-12-16,Re 1-6
2013-12-23,Re 7-14
2013-12-30,Re 15-22
